timestamp,pos.x,pos.y,pos.z,vel.x,vel.y,vel.z
2024-10-13T04:56:12.000000Z,1110.23547613,6530.23802426,-1522.73315165,-4.587611813487,2.11065378665,5.760393737603
2024-10-14T04:07:13.000000Z,2110.17915287,6101.92904057,-2127.7877762,-4.138597352658,3.340069291223,5.510576930287
2024-10-14T04:07:13.000000Z,2110.17915287,6101.92904057,-2127.7877762,-4.138597352658,3.340069291223,5.510576930287
2024-10-20T02:29:54.000000Z,4701.67648261,4574.47200658,-1786.01504954,-2.337189839574,4.595510401882,5.661945230773
2024-10-27T04:56:06.507000Z,3814.67690143,4432.32565442,3445.03472424,-5.954836721529,1.547500340799,4.575975457935
2025-03-04T05:42:46.390000Z,-2780.79976679,-3925.42971532,4795.30855086,3.97232271467,-6.009924821952,-2.605064960256
2025-03-04T05:42:46.390000Z,-2780.79976679,-3925.42971532,4795.30855086,3.97232271467,-6.009924821952,-2.605064960256
2025-03-04T05:42:46.390000Z,-2780.79976679,-3925.42971532,4795.30855086,3.97232271467,-6.009924821952,-2.605064960256
2025-06-04T04:04:20.272769Z,5881.7583350822315,-1347.0693913075463,-3133.9362133872014,3.652393243195944,4.652305094769996,4.86022622696577
2025-03-19T04:48:13.217000Z,-5522.95535283,169.28943906,3949.4817152,-3.066292162519,-5.754859273158,-4.024967412098
2025-04-09T00:41:31.485000Z,938.49918618,5725.04295431,3535.93272245,-5.05091658944,3.612422053771,-4.487735865418
2025-04-09T00:41:31.485000Z,938.49918618,5725.04295431,3535.93272245,-5.05091658944,3.612422053771,-4.487735865418
2025-04-09T00:41:31.485000Z,938.49918618,5725.04295431,3535.93272245,-5.05091658944,3.612422053771,-4.487735865418
